"variable","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"alpha",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.70","0.21","1.88"
"alpha",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"0.68","0.21","1.84"
"alpha",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"0.67","0.21","1.79"
"presymp",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.16","0.07","0.25"
"presymp",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"0.15","0.07","0.24"
"presymp",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"0.16","0.07","0.25"
"p_E",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.56","0.16","0.87"
"p_E",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"0.56","0.16","0.87"
"p_E",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"0.56","0.16","0.87"
"period_E",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.88","0.24","1.35"
"period_E",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"0.87","0.24","1.35"
"period_E",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"0.86","0.25","1.35"
"period_P",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.67","0.20","1.31"
"period_P",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"0.68","0.20","1.31"
"period_P",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"0.69","0.20","1.30"
"mu_inv",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.02","1.68","2.43"
"mu_inv",18,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.11,"2.04","1.70","2.44"
"mu_inv",19,"flu","Two",FALSE,"1p","Both",1.55,0.66,1.54,"2.00","1.65","2.39"
