"variable","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"alpha",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.70","0.21","1.88"
"alpha",4,"flu","Two",TRUE,"1p","Both",1.55,0.66,0.57,"0.65","0.29","1.37"
"presymp",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.16","0.07","0.25"
"presymp",4,"flu","Two",TRUE,"1p","Both",1.55,0.66,0.57,"0.23","0.15","0.32"
"p_E",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.56","0.16","0.87"
"p_E",4,"flu","Two",TRUE,"1p","Both",1.55,0.66,0.57,"0.32","0.07","0.66"
"period_E",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.88","0.24","1.35"
"period_E",4,"flu","Two",TRUE,"1p","Both",1.55,0.66,0.57,"0.50","0.11","1.03"
"period_P",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.67","0.20","1.31"
"period_P",4,"flu","Two",TRUE,"1p","Both",1.55,0.66,0.57,"1.05","0.52","1.44"
"mu_inv",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.02","1.68","2.43"
"mu_inv",4,"flu","Two",TRUE,"1p","Both",1.55,0.66,0.57,"2.08","1.71","2.50"
