"variable","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"alpha",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.70","0.21","1.88"
"alpha",5,"flu","Two",FALSE,"2or3","Both",1.55,0.66,0.57,"0.89","0.19","2.56"
"alpha",6,"flu","Two",FALSE,"4p","Both",1.55,0.66,0.57,"0.71","0.21","1.88"
"presymp",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.16","0.07","0.25"
"presymp",5,"flu","Two",FALSE,"2or3","Both",1.55,0.66,0.57,"0.14","0.04","0.27"
"presymp",6,"flu","Two",FALSE,"4p","Both",1.55,0.66,0.57,"0.19","0.08","0.30"
"p_E",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.56","0.16","0.87"
"p_E",5,"flu","Two",FALSE,"2or3","Both",1.55,0.66,0.57,"0.65","0.23","0.92"
"p_E",6,"flu","Two",FALSE,"4p","Both",1.55,0.66,0.57,"0.50","0.11","0.85"
"period_E",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.88","0.24","1.35"
"period_E",5,"flu","Two",FALSE,"2or3","Both",1.55,0.66,0.57,"1.01","0.35","1.43"
"period_E",6,"flu","Two",FALSE,"4p","Both",1.55,0.66,0.57,"0.78","0.18","1.31"
"period_P",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.67","0.20","1.31"
"period_P",5,"flu","Two",FALSE,"2or3","Both",1.55,0.66,0.57,"0.54","0.12","1.20"
"period_P",6,"flu","Two",FALSE,"4p","Both",1.55,0.66,0.57,"0.77","0.24","1.37"
"mu_inv",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.02","1.68","2.43"
"mu_inv",5,"flu","Two",FALSE,"2or3","Both",1.55,0.66,0.57,"2.23","1.68","2.91"
"mu_inv",6,"flu","Two",FALSE,"4p","Both",1.55,0.66,0.57,"1.98","1.53","2.52"
