"variable","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"alpha",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.70","0.21","1.88"
"alpha",2,"flu","2021_22",FALSE,"1p","Both",1.55,0.66,0.57,"0.77","0.21","2.04"
"alpha",3,"flu","2022_23",FALSE,"1p","Both",1.55,0.66,0.57,"0.82","0.20","2.25"
"presymp",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.16","0.07","0.25"
"presymp",2,"flu","2021_22",FALSE,"1p","Both",1.55,0.66,0.57,"0.17","0.06","0.30"
"presymp",3,"flu","2022_23",FALSE,"1p","Both",1.55,0.66,0.57,"0.16","0.06","0.28"
"p_E",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.56","0.16","0.87"
"p_E",2,"flu","2021_22",FALSE,"1p","Both",1.55,0.66,0.57,"0.55","0.15","0.88"
"p_E",3,"flu","2022_23",FALSE,"1p","Both",1.55,0.66,0.57,"0.61","0.22","0.89"
"period_E",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.88","0.24","1.35"
"period_E",2,"flu","2021_22",FALSE,"1p","Both",1.55,0.66,0.57,"0.85","0.24","1.36"
"period_E",3,"flu","2022_23",FALSE,"1p","Both",1.55,0.66,0.57,"0.94","0.34","1.38"
"period_P",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.67","0.20","1.31"
"period_P",2,"flu","2021_22",FALSE,"1p","Both",1.55,0.66,0.57,"0.70","0.19","1.31"
"period_P",3,"flu","2022_23",FALSE,"1p","Both",1.55,0.66,0.57,"0.61","0.17","1.21"
"mu_inv",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.02","1.68","2.43"
"mu_inv",2,"flu","2021_22",FALSE,"1p","Both",1.55,0.66,0.57,"2.20","1.62","2.91"
"mu_inv",3,"flu","2022_23",FALSE,"1p","Both",1.55,0.66,0.57,"2.00","1.59","2.53"
